2022-10-14T12:46:04.047 info: outputTestData APP_REMIT_CANCEL_CHK request
2022-10-14T12:46:04.141 info: getAPIDef APP_REMIT_CANCEL_CHK
Input|reqHeader|transactionID|取引ID|202009251300000001234567890123456||22222222222222222222222222222222|222222222222222222222222222222222|202009251300000001234567890123456|2020092513000000012345678901234562|202009251300000001234567890123456
Input|reqHeader|routingInfo|経路選択情報|017303101001234567||00000000000000000|000000000000000000|017303101001234567|0173031010012345670|017303101001234567
Input|reqBody|commonRequestHeader|共通ヘッダー|||||||
Input|reqBody|commonRequestHeader.dummy|dummy||x|||||
Input|reqBody|commonRequestHeader.bankCode|金融機関コード|{bankCode}|{bankCode}|{bankCode}|{bankCode}|{bankCode}|{bankCode}|{bankCode}
Input|reqBody|commonRequestHeader.userID|ユーザーID|03101000000001||0000000000000|00000000000000|03101000000001|031010000000010|0310100000000a
Input|reqBody|commonRequestHeader.userIDForLogging|ユーザーID（ログ出力用）|2020010100000001||222222222222222|2222222222222222|2020010100000001|20200101000000012|202001010000000a
Input|reqBody|commonRequestHeader.applicationID|アプリケーションID|digitalapp||ddddddddd|dddddddddd|digitalapp|digitalappd|digitalap私
Input|reqBody|commonRequestHeader.clientID|クライアントID|client_id||[space]|c|client_idccccccccccccccccccccccccccccccccccccccccccccccccccccccc|client_idcccccccccccccccccccccccccccccccccccccccccccccccccccccccc|client_i私
Input|reqBody|commonRequestHeader.deviceID|端末ID|XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX||[space]|X|XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX私
Input|reqBody|receiptBusinessHeader|受付業務ヘッダー|||||||
Input|reqBody|receiptBusinessHeader.dummy|dummy||x|||||
